,date,value,index_name,index_description,unit,phase,phase_description,event,event_description
750,1950-11-01,-0.6,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
825,1950-12-01,-0.8,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
1,1951-01-01,-0.82,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
76,1951-02-01,-0.54,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
151,1951-03-01,-0.17,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
226,1951-04-01,0.18,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
301,1951-05-01,0.36,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
376,1951-06-01,0.58,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
451,1951-07-01,0.7,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
526,1951-08-01,0.89,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
601,1951-09-01,0.99,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
676,1951-10-01,1.15,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
751,1951-11-01,1.04,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
826,1951-12-01,0.81,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
2,1952-01-01,0.53,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
77,1952-02-01,0.37,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
152,1952-03-01,0.34,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
227,1952-04-01,0.29,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
302,1952-05-01,0.2,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
377,1952-06-01,0.0,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
452,1952-07-01,-0.08,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
527,1952-08-01,0.0,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
602,1952-09-01,0.15,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
677,1952-10-01,0.1,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
752,1952-11-01,0.04,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
827,1952-12-01,0.15,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
3,1953-01-01,0.4,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
78,1953-02-01,0.6,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
153,1953-03-01,0.63,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
228,1953-04-01,0.66,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
303,1953-05-01,0.75,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
378,1953-06-01,0.77,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
453,1953-07-01,0.75,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
528,1953-08-01,0.73,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
603,1953-09-01,0.78,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
678,1953-10-01,0.84,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
753,1953-11-01,0.84,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
828,1953-12-01,0.81,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
4,1954-01-01,0.76,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Cálida,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son superiores a 0.5 °C,Niño,Este evento se caracteriza porque la fase calida persiste durante al menos 5 meses consecutivos
79,1954-02-01,0.47,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
154,1954-03-01,-0.05,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
229,1954-04-01,-0.41,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
304,1954-05-01,-0.54,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
379,1954-06-01,-0.5,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
